Ano,Casos,Variação Ano a Ano dos Ataques de Tubarão,Taxa de crescimento populacao EUA,Variação da elevação dos mares,Anomalia temperatura dos mares
1951,2,-0.7777777777777778,1.29,0.10393873095585558,-0.42
1952,11,4.5,1.39,-0.02576808730962073,-0.312
1953,11,0.0,1.56,0.044760935840557056,-0.312
1954,7,-0.36363636363636365,1.66,-0.028237585146148513,-0.6
1955,13,0.8571428571428571,1.73,0.009018036116007662,-0.636
1956,9,-0.3076923076923077,1.75,-0.050645481536422884,-0.564
1957,10,0.1111111111111111,1.75,0.14016736385220863,-0.222
1958,16,0.6,1.73,0.012844036656200552,-0.204
1959,28,0.75,1.68,0.0027173913943761823,-0.294
1960,25,-0.10714285714285714,1.62,0.03342366752710393,-0.312
1961,17,-0.32,1.56,0.05419580421249511,-0.276
1962,21,0.23529411764705882,1.49,-0.04311774456173247,-0.294
1963,13,-0.38095238095238093,1.4,-0.013864818041810749,-0.276
1964,14,0.07692307692307693,1.31,-0.06942003521057807,-0.546
1965,14,0.0,1.23,0.10576015122861626,-0.474
1966,15,0.07142857142857142,1.13,-0.04611443211134574,-0.384
1967,9,-0.4,1.04,0.012533572026509709,-0.42
1968,15,0.6666666666666666,0.96,0.007073386392666872,-0.384
1969,15,0.0,0.92,0.05970149250070104,-0.096
1970,9,-0.4,0.9,-0.01574150775951936,-0.294
1971,5,-0.4444444444444444,0.89,0.04377104371561287,-0.51
1972,9,0.8,0.89,0.07338709673636452,-0.186
1973,4,-0.5555555555555556,0.89,-0.04507888801566985,-0.15
1974,13,2.25,0.9,0.0936270651926911,-0.42
1975,21,0.6153846153846154,0.9,-0.01151079138215623,-0.438
1976,18,-0.14285714285714285,0.91,-0.007278020249565146,-0.366
1977,8,-0.5555555555555556,0.92,-0.012463343146867204,-0.078
1978,9,0.125,0.93,0.047512991893060436,-0.186
1979,9,0.0,0.94,-0.03472714393351316,0.048
1980,9,0.0,0.94,0.04405286339833222,0.066
1981,27,2.0,0.94,0.08720112519942397,-0.006
1982,22,-0.18518518518518517,0.94,-0.037516170687807576,-0.006
1983,22,0.0,0.94,0.05645161288532997,0.138
1984,21,-0.045454545454545456,0.94,-0.005725190866829816,-0.042
1985,21,0.0,0.94,-0.06589891240939205,-0.114
1986,15,-0.2857142857142857,0.94,0.004109589002964896,-0.042
1987,15,0.0,0.94,0.00409276957609592,0.21
1988,26,0.7333333333333333,0.94,0.03192934784308452,0.138
1989,25,-0.038461538461538464,0.95,0.029624753099646815,0.066
1990,20,-0.2,0.96,0.014705882350552795,0.246
1991,22,0.1,0.96,0.015752992947863646,0.192
1992,24,0.09090909090909091,0.96,0.004342431905474806,0.048
1993,22,-0.08333333333333333,0.98,-0.011117974110582272,0.048
1994,25,0.13636363636363635,1.02,0.03247970014863676,0.084
1995,49,0.96,1.08,0.017543859614077586,0.174
1996,28,-0.42857142857142855,1.15,0.02437574321398628,0.084
1997,28,0.0,1.23,0.04062681371184174,0.354
1998,26,-0.07142857142857142,1.27,-0.05521472390726033,0.444
1999,36,0.38461538461538464,1.25,0.05017709563748286,0.084
2000,52,0.4444444444444444,1.18,0.007307476065631754,0.12
2001,58,0.11538461538461539,1.08,0.03069196430714943,0.354
2002,49,-0.15517241379310345,0.98,0.012994044412624318,0.408
2003,57,0.16326530612244897,0.91,0.049171566000517,0.462
2004,35,-0.38596491228070173,0.88,-0.0020376974691705234,0.426
2005,52,0.4857142857142857,0.89,0.0005104645395930897,0.426
2006,55,0.057692307692307696,0.92,0.021938775587231875,0.426
2007,66,0.2,0.95,0.009485771275307218,0.3
2008,61,-0.07575757575757576,0.96,0.04302670627115224,0.264
2009,43,-0.29508196721311475,0.94,0.027501185339958583,0.498
2010,40,-0.06976744186046512,0.91,0.03553299492623781,0.516
2011,47,0.175,0.86,0.007130124786464955,0.318
2012,64,0.3617021276595745,0.81,0.03893805314767154,0.444
2013,61,-0.046875,0.77,-0.03577512775873039,0.48
2014,66,0.08196721311475409,0.73,-0.03746593458634016,0.642
2015,73,0.10606060606060606,0.7,0.04032867836428015,0.858
2016,64,-0.1232876712328767,0.68,0.012414234230684612,0.93
2017,65,0.015625,0.65,0.005693604791522314,0.822
2018,10,-0.8461538461538461,0.63,0.014691724387302289,0.732
