Criador;Contract Address;Token Id;Preço[ETH];Block Chain
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;13616;1.4999;14123277
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;7022;1.45;14123286
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;4168;1.44;14123289
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;19228;1.4;14123300
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;11603;1.649;14123322
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;2677;1.55;14123348
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;11221;1.6;14123382
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;13111;1.43;14123385
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;11731;3.0;14123479
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;7686;1.44;14123486
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;7465;1.45;14123495
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;13784;1.499;14123503
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;9248;1.35;14123538
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;20387;1.39;14123548
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;16440;1.4;14123554
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;14818;1.25;14123559
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;15340;1.4;14123569
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;4420;1.5;14123577
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;2822;2.0;14123589
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;6176;1.39;14123607
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;4626;1.4;14123616
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;18385;1.65;14123640
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;4585;1.4;14123647
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;12554;1.449;14123648
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;22012;2.19;14123656
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;14818;1.449;14123701
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;4886;1.4;14123706
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;13222;1.385;14123772
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;24726;1.42;14123772
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;2977;1.5;14123851
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;16461;1.79;14123873
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;22130;1.41;14123887
Adam Bomb Squad;0x7ab2352b1d2e185560494d5e577f9d3c238b78c5;3580;1.44;14123899
