Criador;Token Id;Imagem;Porcentagem;Dias;PrePorcentagem
Azuki;8518;https://lh3.googleusercontent.com/t0el7w54ktIN6ZHnC7uimXEDKdGmRHOw0bMKth36rqEPZ4Wl1GcjGkHyRswuKdLy6Di8tJYVg-P7uj5jT2SYt_sWA40tn9dw_sSgRA=w600;47.0;8;1.4666666666666666
Bored Ape Yacht Club;337;https://lh3.googleusercontent.com/1I8XU4OIynlN-K3nGcO9sdQ5-ePzrnYYKZB6OTAMq8hFokGnCfFEuNzvxltmTH5Xbt-OAUoe3L4SCgBz_vl32hsbjqdkXOI4T-yh=w566;33900.0;274;340.0
Mutant Ape Yacht Club;8571;https://lh3.googleusercontent.com/w62KBPcHSzgu1Zo5epujb2BDV5UrtPv7bb50XNc1Pqb5D4Po4VUNZscfw8D9k6moNIDmqkcNZrjdMjzE9wHj-uFhUCzuybJJtb8AARQ=w566;534.0;158;6.3439065108514185
Doodles;9955;https://lh3.googleusercontent.com/3LlGx-b1j9YYEu5EJnfiSXgypj6lojJ2vA4ubzcHp8KtslFIJV856XGnjQ-6EHJhnSd6_Wb4OQwCjBejKxAdaALHRGKVJkmD3Zo7XA=w566;1359.0;108;14.585185185185185
The Sandbox;70753;https://lh3.googleusercontent.com/fs7AneQHocmq9IJQBsLJ1P74N4Wxk9L9dNDQVZkAIWXiZSMAReHA3fzJoxyth3aK80aC9lqxOxLPej6LCzQpH1A098XBuRgoWO4Z=w566;0.0;0;1.0
World of Women;663;https://lh3.googleusercontent.com/q2B2R3qyqIiMF3iSbM2tmQINGAuS1yBwFFcBoJYsgeil7I24bZ8T8MnO1JthrG6lBIRxLwnBmnCU_rrDmJYG6weg-mhfHswa0Omn7Q=w566;15893.0;189;159.93333333333334
Bored Ape Kennel Club;8049;https://lh3.googleusercontent.com/tM2i4ZAfKgZzt85wtrHgnCIIPkGljxnIznsRwQ5MYSVk0PrFmEj2jWcmza4fQY8_4U7UEDwykbuAWPjsANgyBdZXdyXSThPPDaedVn8=w566;500.0;200;6.000171433469528
Cool Cats NFT;5934;https://lh3.googleusercontent.com/uBKy6L6Lkaj3xCCg1QaeXTEUuTYpVCoLSDcY7MoV6e-brndwdq0Vbp2Hq6Mk4RW4O478i9d0Y2o9fWGLWxUffmrRtrQDYVV3pkzyVA=w600;223.0;163;3.231017770597738
PhantaBear;8715;https://lh3.googleusercontent.com/dDACDpvmlpi0CKsrNRAMKnq8Eyd6FMBbIN7jIaMtFLXRw79Y7BV8q33VLkY3zFhwXnJoywst1YUB7Om96r7tOIfpNi4Agitt0iUyvg=w566;-40.0;26;0.6
Adam Bomb Squad;628;https://lh3.googleusercontent.com/BNhnFR6S_gVQq_-Qpac6Zz9QKQUxQrclI0oURxHRUZU4C8bvUR3H3Sj1yQqlLb97Shi5QagvnkL-TT3xkg56t2AxoNCYf6JMQWV3=w566;210.0;117;3.1
