Criador;Token Id;Imagem;Porcentagem;Dias;PrePorcentagem
Azuki;4007;https://lh3.googleusercontent.com/jRQ9v1cocB6mWGQMSSEF7cgldkILO2AzntwB56vzWA7HKoNqmLyuSM-gvphl33Pd0Gg3r0Ak7l3x0f1CBjkk-etHfRlTj9w9yqGYOQ=w600;367.0;22;4.666666666666667
Bored Ape Yacht Club;3683;https://lh3.googleusercontent.com/zot66GeQgFuM90v7Z-4a_TeQ3hGHT2eXFBTAqbYr8GBg445wAA8LliZW2XB1dlKaFVaw0pBQ0qjlAVXL_1Hqrd3YMEIZBuTCy7ww=w600;4300.0;240;44.0
Mutant Ape Yacht Club;10328;https://lh3.googleusercontent.com/3KXmQpzzY4PyTy3ouSfZj-H-JpLLo-cuvDcuCnJC86QWviYHcO40fenF_qKOnty2h_AYIgjSieEGkWCCxDIMQkalx49fyojJD-K9=w566;66.0;83;1.6649122807017545
Doodles;574;https://lh3.googleusercontent.com/mVHgIOUWhW4cvt6WyrWVbbfYxuZxREukvF4i-U-_XW_Y2yIdQUfQG2qa5F1_vpJNBkGrGF_IBXu7-LvTKSvznh5Q0IwkN-9qOmgzjvU=w566;1312.0;108;14.117647058823529
The Sandbox;38588;https://lh3.googleusercontent.com/kOKnLvsgs5w4yrL5qLIDxlEtSidRcPtBRNZ0PoV6srGxf-2nNt8TUXCXswEiNOocd8zXBCgwGd3W_hDWaOyK8lUsoFkXFUri4vUKvdU=w566;0.0;0;1.0
World of Women;5648;https://lh3.googleusercontent.com/JkZLFhW5tXT7f9XXqQee84PTEu0SDJqbchsYS21OkqHw4qVxh97pKuI7-JloQ3F52PDEmckPzJWah3m4UCXnzdFrLhKJ4yhQ38oVYQ=w566;107.0;22;2.0675
Bored Ape Kennel Club;8932;https://lh3.googleusercontent.com/40RJ8sC-3GwK934bxXTI-Euvbc4WJgYEBKjeZvxwIulEHIknEPztandHYuL5FRxS_XXEZtiNoPPUk092M_ybILVaIfzzF4aTdDcUuKI=w600;0.0;0;1.0
Cool Cats NFT;5624;https://lh3.googleusercontent.com/hD6LvY3Uj54qnOUr4KMHUsuLqcmS6TcqGpiJKYeeH1Or4bN2nPQR2RwaTfe8VCENka4lwVic6xwYbSJFtKFaYn1MCw_RQnYhp9_t=w566;46900.0;218;470.0
PhantaBear;2690;https://lh3.googleusercontent.com/bwTP4ugRwm-n_z2rAeTfuBvkBD0pxGeAxpyhX-ePc-RDD6yCl3vcfwnVi5XyVJ8CyGDhA6ViYrJquFx4P4G5-hGzncty3O05NzssLw=w566;178.0;34;2.7839643652561246
Adam Bomb Squad;2532;https://lh3.googleusercontent.com/zPZrEwF2C2-d85tquTNWu5O8h_j15PKYcfJMOTTvjI0i1c64ODHIjD1s2HCLBNOiJH3lTPbFmBdBUs_lFZCEm6h8-k-PA8Agk14SdQ=w566;53.0;1;1.529051987767584
CyberKongz;1689;https://lh3.googleusercontent.com/qtI-IsZpkiuAuCjKQ2oetC2BUrPIZaQjSItlAT9S_XY-ftXbVFQnjrKtYovcBZPiAWTTIVgautzjK80TbbrDyoecrzLUKHiD6MoA3Q=w566;167.0;168;2.6664000000000003
VeeFriends;7515;https://lh3.googleusercontent.com/lESQcEGB3I7Yn4PAYlHY3nWHTfI_0zmy5er5kGwCXOSED9OtRRrnfLYebNmEsYZOY6iWp-HS-82ZY4StSG7gKE7O4eckQocWvgmKjfI=w566;56.00000000000001;45;1.5579064587973273
Decentraland;115792089237316195423570985008687907816859771405100148448876501012713931014082;https://lh3.googleusercontent.com/oQr21Wl-xyMyIIpzqiW449DEullKfifmZIg0NsJ9HpvOKtMVCEJGZwrpZ-CYnpgr1UG-hh0JtXfbfwgRxRgH8yDnztrDwCC_c--v=w566;0.0;0;1.0
CyberKongz VX;11722;https://vxviewer.vercel.app/11722;159.0;159;2.589928057553957
FLUF World;439;https://lh3.googleusercontent.com/ejXnnWYJeQCvE2ar6cAoJ5bHFvShCX4PFcnqRCcfoRCSTkwTMbuuBhA0crCQIIHSUzDpwircYUcsoJLWoyeoSwMHfd8VEcMB0FYQI6U;565.0;142;6.6491228070175445
The Doge Pound;4738;https://lh3.googleusercontent.com/s5uzOY6xOfjgO36pExW4ttCA1r5HOWFoVV-j6llc86r2GrEGIT3Do_wDimoneiwntLiECGcnAmxdRMLFWhVLvIxhUEDEGsncryFiog=w566;400.0;188;5.0
DeadFellaz;7544;https://lh3.googleusercontent.com/Rve_MAj8YLqi2IV0brT0kuhRI6EqtizgSLzBAAxa6wxrqTvXuUntY089K5j8oqRMRzADfXvu4JOXo8R8QrEG22sikV7LkS26Uw0F3w=w566;5743.0;176;58.43071786310517
Meebits;19497;https://lh3.googleusercontent.com/SyadFcMluMGpoxk4Z2sGv4gS2hsKir0Lt8fWGrraOvwVyWxVDwsFwVnXVWTNr5qkw3dc1m4NNNNp9jDKdzY7uM8AxoCHa7FdGvBg=w600;-18.0;22;0.8188460569412951
Lazy Lions;8717;https://lh3.googleusercontent.com/wZIOTq82eYvpv7Vl2DbDHvLGM-TTxBX7aXqm03vB9FcWuCcXmgz8ccz1WJRUUTIO3LM86LAZD8oI2PZPZLACgOlzhCXlkQqOzjL-lQ=w600;886.0;183;9.862068965517242
Bored Ape Chemistry Club;0;https://lh3.googleusercontent.com/dy1GPB-pZHgb5n5DnP5A1Mv4wX55bcDLimu9kMVg1slAtE62oM_gXywAiPeu101FKOJ3_v6TCWnT72AP3TNTv5iueo1LiXxWLz-YBQ=w600;42.0;14;1.422723480757665
PUNKS Comic;10161;https://lh3.googleusercontent.com/6SiPy_-gzM9pmk2_bQO2UQUYWc7ccnT8QljFNjopVggbTP2qD42stDk8ViCWcoP7c013J8PYSkFK8Pmpc4Bp_OT9eRsnj7X63IcalN8=w600;25.0;20;1.2462311557788943
